date;home;away
13/03/2026;Alaves;Villarreal
14/03/2026;Girona;Ath Bilbao
14/03/2026;Ath Madrid;Getafe
14/03/2026;Oviedo;Valencia
14/03/2026;Real Madrid;Elche
15/03/2026;Mallorca;Espanol
15/03/2026;Barcelona;Sevilla
15/03/2026;Betis;Celta
15/03/2026;Sociedad;Osasuna
16/03/2026;Vallecano;Levante
20/03/2026;Villarreal;Sociedad
21/03/2026;Elche;Mallorca
21/03/2026;Espanol;Getafe
21/03/2026;Levante;Oviedo
21/03/2026;Osasuna;Girona
21/03/2026;Sevilla;Valencia
22/03/2026;Barcelona;Vallecano
22/03/2026;Celta;Alaves
22/03/2026;Ath Bilbao;Betis
22/03/2026;Real Madrid;Ath Madrid
5/04/2026;Alaves;Osasuna
5/04/2026;Ath Madrid;Barcelona
5/04/2026;Betis;Espanol
5/04/2026;Girona;Villarreal
5/04/2026;Mallorca;Real Madrid
5/04/2026;Oviedo;Sevilla
5/04/2026;Getafe;Ath Bilbao
5/04/2026;Valencia;Celta
5/04/2026;Vallecano;Elche
5/04/2026;Sociedad;Levante
12/04/2026;Barcelona;Espanol
12/04/2026;Celta;Oviedo
12/04/2026;Elche;Valencia
12/04/2026;Mallorca;Vallecano
12/04/2026;Sociedad;Alaves
12/04/2026;Sevilla;Ath Madrid
12/04/2026;Osasuna;Betis
12/04/2026;Levante;Getafe
12/04/2026;Real Madrid;Girona
12/04/2026;Ath Bilbao;Villarreal
22/04/2026;Ath Bilbao;Osasuna
22/04/2026;Barcelona;Celta
22/04/2026;Levante;Sevilla
22/04/2026;Mallorca;Valencia
22/04/2026;Oviedo;Villarreal
22/04/2026;Real Madrid;Alaves
22/04/2026;Elche;Ath Madrid
22/04/2026;Girona;Betis
22/04/2026;Vallecano;Espanol
22/04/2026;Sociedad;Getafe
26/04/2026;Alaves;Mallorca
26/04/2026;Betis;Real Madrid
26/04/2026;Espanol;Levante
26/04/2026;Osasuna;Sevilla
26/04/2026;Vallecano;Sociedad
26/04/2026;Ath Madrid;Ath Bilbao
26/04/2026;Getafe;Barcelona
26/04/2026;Villarreal;Celta
26/04/2026;Oviedo;Elche
26/04/2026;Valencia;Girona
3/05/2026;Alaves;Ath Bilbao
3/05/2026;Betis;Oviedo
3/05/2026;Celta;Elche
3/05/2026;Espanol;Real Madrid
3/05/2026;Getafe;Vallecano
3/05/2026;Girona;Mallorca
3/05/2026;Valencia;Ath Madrid
3/05/2026;Osasuna;Barcelona
3/05/2026;Villarreal;Levante
3/05/2026;Sevilla;Sociedad
10/05/2026;Ath Bilbao;Valencia
10/05/2026;Ath Madrid;Celta
10/05/2026;Barcelona;Real Madrid
10/05/2026;Levante;Osasuna
10/05/2026;Mallorca;Villarreal
10/05/2026;Elche;Alaves
10/05/2026;Sociedad;Betis
10/05/2026;Sevilla;Espanol
10/05/2026;Oviedo;Getafe
10/05/2026;Vallecano;Girona
13/05/2026;Alaves;Barcelona
13/05/2026;Betis;Elche
13/05/2026;Celta;Levante
13/05/2026;Getafe;Mallorca
13/05/2026;Girona;Sociedad
13/05/2026;Espanol;Ath Bilbao
13/05/2026;Osasuna;Ath Madrid
13/05/2026;Valencia;Vallecano
13/05/2026;Villarreal;Sevilla
13/05/2026;Real Madrid;Oviedo
17/05/2026;Ath Bilbao;Celta
17/05/2026;Ath Madrid;Girona
17/05/2026;Barcelona;Betis
17/05/2026;Elche;Getafe
17/05/2026;Levante;Mallorca
17/05/2026;Vallecano;Villarreal
17/05/2026;Sociedad;Valencia
17/05/2026;Oviedo;Alaves
17/05/2026;Osasuna;Espanol
17/05/2026;Sevilla;Real Madrid
24/05/2026;Alaves;Vallecano
24/05/2026;Betis;Levante
24/05/2026;Celta;Sevilla
24/05/2026;Espanol;Sociedad
24/05/2026;Getafe;Osasuna
24/05/2026;Mallorca;Oviedo
24/05/2026;Real Madrid;Ath Bilbao
24/05/2026;Villarreal;Ath Madrid
24/05/2026;Valencia;Barcelona
24/05/2026;Girona;Elche
