Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
D1,23/01/2026,19:30,St Pauli,Hamburg,0,0,D,0,0,D,8,5,3,2,15,13,5,4,1,1,0,0,2.88,2.9,2.75,2.8,2.88,2.75,2.85,2.9,2.8,2.88,3,2.63,2.87,2.9,2.75,2.87,2.9,2.75,2.75,2.75,2.6,,,,2.9,3,2.8,2.85,2.89,2.72,3,3.05,2.86,2.63,1.5,,,2.7,1.5,2.59,1.47,2.84,1.53,0,2,1.85,,,2,1.85,1.94,1.82,2.05,1.93,2.8,2.9,2.8,2.8,2.88,2.75,2.9,2.95,2.7,2.75,3,2.7,2.75,2.95,2.8,2.75,2.9,2.8,2.75,2.9,2.8,,,,2.9,3,2.88,2.81,2.91,2.75,2.96,3,2.98,2.63,1.5,,,2.63,1.53,2.54,1.49,2.72,1.56,0,1.93,1.93,,,1.95,1.93,1.9,1.86,1.98,2
D1,24/01/2026,14:30,Bayern Munich,Augsburg,1,2,A,1,0,H,15,16,6,6,10,5,9,3,1,1,0,0,1.1,12,17,1.09,10,23,1.09,11,25,1.06,9.5,19,1.12,10.5,18.5,,,,,,,,,,1.12,13,26,1.09,10.35,20.62,1.11,13.5,27,1.25,4,,,1.25,4.33,1.22,4.06,1.26,4.6,-2.75,1.98,1.88,,,1.98,1.88,1.93,1.84,1.98,1.95,1.13,10,17,1.13,9,17,1.09,11,21,1.11,9.5,17,1.16,8.75,15,,,,,,,,,,1.16,11,21,1.12,9.33,16.38,1.14,11.5,21,1.22,4.33,,,1.25,4.5,1.22,4.19,1.25,4.8,-2.5,1.95,1.9,,,1.95,1.9,1.9,1.83,2.02,1.94
D1,24/01/2026,14:30,Ein Frankfurt,Hoffenheim,1,3,A,1,0,H,9,10,3,5,8,16,6,6,0,4,0,0,2.8,3.75,2.3,2.88,3.6,2.3,2.75,3.7,2.38,2.63,3.6,2.25,2.65,3.7,2.4,,,,,,,,,,2.88,3.75,2.45,2.73,3.63,2.33,2.98,4,2.38,1.53,2.5,,,1.57,2.5,1.52,2.45,1.58,2.64,0.25,1.8,2.05,,,1.83,2.06,1.75,2.02,1.9,2.08,3,3.6,2.2,3,3.5,2.25,3.1,3.6,2.2,2.9,3.75,2.2,2.95,3.6,2.25,,,,,,,,,,3.1,3.75,2.28,2.99,3.58,2.21,3.2,3.7,2.34,1.67,2.2,,,1.67,2.45,1.61,2.26,1.72,2.36,0.25,1.9,1.95,,,1.9,1.95,1.85,1.92,1.95,2.03
D1,24/01/2026,14:30,Heidenheim,RB Leipzig,0,3,A,0,0,D,7,11,2,8,10,9,4,0,1,0,0,0,5,4.5,1.57,5,4.33,1.57,5.6,4.35,1.55,4.8,4.2,1.53,5.25,4.33,1.58,,,,,,,,,,5.6,4.5,1.59,5.08,4.31,1.56,5.7,4.5,1.64,1.5,2.63,,,1.5,2.63,1.48,2.56,1.54,2.76,1,1.93,1.93,,,1.93,1.95,1.87,1.9,1.95,1.99,4.33,4.33,1.65,4.6,4.33,1.62,4.9,4.4,1.61,4.6,4.33,1.62,4.75,4.33,1.63,,,,,,,,,,4.9,4.5,1.65,4.6,4.33,1.62,5.2,4.5,1.7,1.44,2.75,,,1.45,2.8,1.44,2.72,1.52,2.92,0.75,2.05,1.8,,,2.07,1.83,2.02,1.77,2.14,1.84
D1,24/01/2026,14:30,Leverkusen,Werder Bremen,1,0,H,1,0,H,13,17,4,3,6,9,5,5,2,3,0,0,1.62,4.2,5.25,1.57,4.33,5,1.6,4.25,5.2,1.55,4.1,4.75,1.61,4.33,4.8,,,,,,,,,,1.62,4.33,5.25,1.59,4.23,4.93,1.66,4.4,5.7,1.5,2.63,,,1.5,2.63,1.48,2.58,1.54,2.76,-1,2,1.85,,,2,1.85,1.95,1.81,2.04,1.9,1.57,4.33,5.5,1.53,4.33,5.5,1.53,4.4,5.75,1.53,4.5,5.25,1.55,4.6,5.25,,,,,,,,,,1.57,4.6,5.75,1.54,4.41,5.32,1.61,4.6,6,1.5,2.63,,,1.5,2.7,1.47,2.62,1.52,2.84,-1,1.93,1.93,,,1.93,1.95,1.86,1.91,1.99,2
D1,24/01/2026,14:30,Mainz,Wolfsburg,3,1,H,0,1,A,20,7,9,2,8,11,15,1,3,2,0,0,2.3,3.5,3,2.38,3.4,2.88,2.32,3.5,3,2.25,3.4,2.8,2.3,3.6,2.87,,,,,,,,,,2.38,3.6,3,2.31,3.42,2.91,2.46,3.6,3.1,1.73,2.1,,,1.8,2.1,1.74,2.04,1.83,2.16,-0.25,2.03,1.83,,,2.03,1.83,1.97,1.8,2.12,1.86,2.25,3.4,3.2,2.3,3.3,3.1,2.33,3.35,3.05,2.25,3.4,3.1,2.3,3.3,3,,,,,,,,,,2.36,3.4,3.2,2.29,3.33,3.06,2.4,3.45,3.3,1.93,1.93,,,1.93,1.93,1.88,1.88,2,1.99,-0.25,1.98,1.88,,,2,1.88,1.96,1.82,2.06,1.93
D1,24/01/2026,17:30,Union Berlin,Dortmund,0,3,A,0,1,A,10,15,3,5,10,16,7,2,0,1,0,0,3.6,3.5,2.05,3.75,3.4,2,3.65,3.45,2.06,3.4,3.3,2,3.7,3.5,2,,,,,,,,,,3.75,3.5,2.1,3.57,3.4,2.03,3.8,3.55,2.16,1.91,1.91,,,1.95,1.91,1.91,1.84,2,1.96,0.5,1.8,2.05,,,1.83,2.05,1.77,1.97,1.84,2.16,3.2,3.3,2.3,3.2,3.2,2.3,3.35,3.3,2.23,3.13,3.3,2.25,3.2,3.25,2.25,,,,,,,,,,3.35,3.33,2.3,3.21,3.25,2.25,3.5,3.35,2.36,2.1,1.73,,,2.1,1.78,2.06,1.73,2.14,1.85,0.25,1.88,1.98,,,1.9,1.98,1.85,1.91,1.97,2.01
D1,25/01/2026,14:30,M'gladbach,Stuttgart,0,3,A,0,1,A,12,17,3,8,11,7,1,4,1,1,0,0,3,3.75,2.2,3,3.6,2.2,3,3.7,2.23,2.75,3.6,2.2,2.87,3.7,2.25,,,,,,,,,,3,3.8,2.3,2.89,3.65,2.23,3.05,3.75,2.44,1.53,2.5,,,1.55,2.5,1.52,2.44,1.59,2.6,0.25,1.85,2,,,1.87,2,1.83,1.94,1.88,2.11,2.88,3.7,2.3,2.88,3.6,2.3,3.05,3.65,2.23,2.8,3.7,2.3,2.87,3.7,2.3,,,,,,,,,,3.05,3.7,2.33,2.88,3.61,2.29,3.1,3.75,2.4,1.57,2.38,,,1.62,2.45,1.57,2.35,1.64,2.52,0.25,1.8,2.05,,,1.87,2.05,1.81,1.97,1.91,2.07
D1,25/01/2026,16:30,Freiburg,FC Koln,2,1,H,2,1,H,13,19,5,4,5,9,5,5,1,2,0,0,1.9,3.75,3.8,1.95,3.6,3.75,1.92,3.55,4,1.87,3.5,3.6,1.93,3.6,3.8,,,,,,,,,,1.95,3.75,4,1.9,3.59,3.78,2,3.8,4,1.8,2,,,1.82,2.05,1.78,1.99,1.82,2.14,-0.5,1.93,1.93,,,1.93,1.93,1.86,1.86,2,1.97,2,3.7,3.5,2,3.6,3.5,1.92,3.65,3.85,2,3.7,3.4,1.98,3.7,3.6,,,,,,,,,,2,3.7,3.85,1.98,3.6,3.57,2.06,3.75,3.95,1.73,2.1,,,1.73,2.2,1.68,2.14,1.77,2.28,-0.5,2.03,1.83,,,2.03,1.85,1.94,1.8,2.06,1.92
D1,27/01/2026,19:30,St Pauli,RB Leipzig,1,1,D,0,0,D,7,12,2,5,6,8,4,3,0,1,0,0,4.5,3.5,1.8,4.5,3.4,1.83,4.5,3.5,1.84,4.5,3.5,1.8,4.4,3.5,1.83,,,,,,,,,,4.75,3.6,1.84,4.49,3.47,1.81,4.9,3.7,1.89,2.1,1.73,,,2.1,1.77,2.05,1.74,2.14,1.85,0.5,2.03,1.83,,,2.05,1.83,1.97,1.77,2.1,1.89,5,3.5,1.75,5,3.5,1.73,4.8,3.65,1.75,4.8,3.6,1.73,4.75,3.6,1.75,4.8,3.6,1.75,4.8,3.6,1.75,,,,5,3.65,1.82,4.75,3.58,1.75,5.2,3.8,1.83,2.1,1.73,,,2.1,1.8,2.2,1.76,2.2,1.81,0.75,1.88,1.98,,,1.88,2.1,1.82,1.97,1.91,2.8
