Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
I1,23/01/2026,19:45,Inter,Pisa,6,2,H,3,2,H,34,8,14,3,8,11,7,5,2,3,0,0,1.18,7.5,15,1.17,7,17,1.15,7.5,20,1.15,7.5,17,1.2,7.25,13.5,1.2,7.5,13,1.2,7,13,,,,1.2,7.5,20,1.17,7.18,15.69,1.21,8.2,19,1.5,2.63,,,1.51,2.63,1.49,2.51,1.56,2.74,-2,1.93,1.93,,,1.93,1.95,1.86,1.91,2,1.96,1.25,6,11,1.25,6,11,1.24,6.25,11,1.25,5.75,10.5,1.29,6,9,1.28,6,9,1.28,6,8.5,,,,1.3,6.25,11,1.26,5.88,10.08,1.29,6.4,13,1.53,2.5,,,1.55,2.63,1.5,2.51,1.61,2.62,-1.75,2.03,1.78,,,2.03,1.92,1.94,1.84,2.17,1.84
I1,24/01/2026,14:00,Como,Torino,6,0,H,2,0,H,17,7,7,1,9,15,2,1,0,1,0,0,1.62,3.75,6,1.62,3.75,5.5,1.66,3.7,5.6,1.65,3.75,5.5,1.65,3.8,5.25,1.65,3.8,5.25,1.65,3.8,5.25,,,,1.66,3.8,6,1.63,3.72,5.51,1.69,3.85,6.4,2.1,1.73,,,2.1,1.77,2.02,1.74,2.16,1.83,-0.75,1.83,2.03,,,1.85,2.03,1.81,1.97,1.89,2.08,1.53,4.1,6.5,1.53,4,6.5,1.53,4.1,6.5,1.5,4.2,6.5,1.57,3.9,6.25,,,,,,,,,,1.57,4.2,6.66,1.52,4.01,6.43,1.59,4.1,7.6,1.88,1.98,,,1.91,1.98,1.86,1.89,1.94,2.02,-1,1.9,1.95,,,1.91,1.95,1.87,1.9,1.98,2.01
I1,24/01/2026,17:00,Fiorentina,Cagliari,1,2,A,0,1,A,15,10,3,6,11,17,8,3,2,3,0,0,1.62,3.8,5.75,1.62,3.75,5.5,1.66,3.7,5.5,1.62,3.9,5.5,1.63,3.8,5.5,,,,,,,,,,1.66,4,5.75,1.62,3.81,5.44,1.71,4,6,2,1.8,,,2,1.83,1.96,1.79,2.06,1.9,-0.75,1.8,2.05,,,1.86,2.05,1.8,1.97,1.9,2.08,1.8,3.6,4.5,1.8,3.6,4.5,1.84,3.3,4.8,1.8,3.6,4.4,1.77,3.6,4.75,,,,,,,,,,1.84,3.6,5,1.79,3.46,4.67,1.88,3.6,5.1,1.91,1.91,,,1.98,1.91,1.93,1.83,2.04,1.93,-0.5,1.83,2.03,,,1.83,2.05,1.75,2,1.88,2.12
I1,24/01/2026,19:45,Lecce,Lazio,0,0,D,0,0,D,15,6,2,1,16,6,4,1,2,1,0,0,4,3,2.1,4,3,2.1,3.85,3,2.16,3.9,3.1,2.1,3.9,3.1,2.1,,,,,,,,,,4,3.1,2.16,3.91,3.02,2.11,4.4,3.1,2.18,2.63,1.5,,,2.7,1.5,2.61,1.47,2.82,1.52,0.25,2.05,1.8,,,2.05,1.82,2,1.77,2.15,1.83,4.75,2.9,1.95,4.33,3,2,4.75,2.88,2.02,4.4,3,2,4.4,2.95,2,,,,,,,,,,4.75,3,2.05,4.5,2.93,2,4.9,3.1,2.1,3,1.4,,,3,1.4,2.9,1.39,3.05,1.47,0.5,1.85,2,,,1.85,2,1.79,1.94,1.89,2.11
I1,25/01/2026,11:30,Sassuolo,Cremonese,1,0,H,1,0,H,13,10,7,4,13,14,3,5,1,2,0,0,1.91,3.4,4.2,1.95,3.3,4,1.91,3.4,4.25,1.91,3.3,4,1.93,3.3,4.1,,,,,,,,,,1.95,3.4,4.25,1.91,3.31,4.13,2.02,3.4,4.5,2.2,1.67,,,2.2,1.73,2.11,1.69,2.26,1.76,-0.5,1.93,1.93,,,1.93,1.93,1.88,1.86,2.02,1.96,2,3.3,4,2.05,3.2,3.75,2.1,3.05,4.1,2,3.13,4.2,2,3.1,4.1,,,,,,,,,,2.1,3.3,4.2,2.04,3.1,4.02,2.12,3.25,4.4,2.3,1.62,,,2.36,1.62,2.28,1.6,2.42,1.69,-0.5,2.03,1.83,,,2.03,1.83,1.97,1.77,2.12,1.87
I1,25/01/2026,14:00,Atalanta,Parma,4,0,H,2,0,H,21,15,9,2,14,8,6,9,1,0,0,0,1.42,4.5,7.5,1.4,4.6,7.5,1.4,4.6,8.5,1.4,4.5,7.5,1.43,4.6,7,,,,,,,,,,1.43,4.75,8.5,1.4,4.54,7.65,1.44,4.9,8.6,1.73,2.1,,,1.73,2.1,1.71,2.08,1.81,2.16,-1.25,1.95,1.9,,,1.95,1.9,1.9,1.87,1.97,1.96,1.33,4.75,9.5,1.33,5,9.5,1.34,4.9,9.5,1.33,4.8,9.5,1.36,5,8.5,,,,,,,,,,1.36,5.25,10,1.33,4.9,9.22,1.36,5.7,11,1.83,2.03,,,1.83,2.15,1.75,2.03,1.87,2.12,-1.5,2.05,1.8,,,2.05,1.86,1.98,1.77,2.16,1.85
I1,25/01/2026,14:00,Genoa,Bologna,3,2,H,0,1,A,8,13,6,3,14,17,5,2,2,2,0,1,3,3,2.6,2.88,3,2.6,2.9,3,2.65,2.88,3.1,2.5,2.9,3.1,2.5,,,,,,,,,,3.1,3.1,2.65,2.93,3,2.56,3.2,3.1,2.7,2.38,1.57,,,2.43,1.6,2.38,1.55,2.44,1.65,0,2.1,1.78,,,2.1,1.83,2.01,1.75,2.17,1.82,3.25,3,2.4,3.1,3.1,2.4,3.3,3,2.4,3.25,3,2.4,3.2,2.95,2.45,,,,,,,,,,3.33,3.1,2.45,3.23,2.98,2.4,3.5,3.15,2.48,2.38,1.57,,,2.42,1.57,2.37,1.55,2.48,1.66,0.25,1.8,2.05,,,1.83,2.05,1.79,2,1.9,2.09
I1,25/01/2026,17:00,Juventus,Napoli,3,0,H,1,0,H,12,9,6,1,21,11,2,2,1,2,0,0,2.05,3.2,4,2.05,3.1,4,2.05,3.1,4.1,2.05,3.1,3.8,2.1,3.1,3.7,,,,,,,,,,2.1,3.2,4.1,2.06,3.08,3.9,2.14,3.2,4.3,2.63,1.5,,,2.63,1.53,2.53,1.49,2.68,1.57,-0.5,2.05,1.8,,,2.05,1.8,2.01,1.72,2.14,1.86,1.85,3.1,4.75,1.91,3.2,4.33,1.96,3.1,4.5,1.91,3.13,4.6,1.93,3.1,4.6,,,,,,,,,,1.96,3.2,4.75,1.91,3.12,4.57,1.96,3.35,5.2,2.5,1.53,,,2.5,1.57,2.41,1.54,2.56,1.63,-0.5,1.9,1.95,,,1.9,1.95,1.86,1.87,1.96,2.03
I1,25/01/2026,19:45,Roma,Milan,1,1,D,0,0,D,15,5,7,2,15,11,5,3,0,4,0,0,2.63,3.1,2.88,2.63,3.1,2.8,2.55,3.1,3,2.6,3,2.8,2.65,3.1,2.8,,,,,,,,,,2.7,3.1,3,2.62,3,2.87,2.82,3.1,3,2.2,1.67,,,2.2,1.67,2.17,1.65,2.28,1.73,0,1.85,2,,,1.85,2,1.8,1.95,1.91,2.04,2.63,2.9,3,2.63,3,2.88,2.75,3.05,2.85,2.63,3,2.9,2.6,2.9,3,,,,,,,,,,2.75,3.05,3,2.66,2.95,2.89,2.8,3,3.2,2.2,1.67,,,2.2,1.73,2.12,1.69,2.32,1.75,0,1.8,2.05,,,1.85,2.05,1.8,1.96,1.86,2.13
I1,26/01/2026,19:45,Verona,Udinese,1,3,A,1,1,D,7,20,4,7,8,11,3,8,2,0,0,0,2.8,3,2.8,2.75,3,2.8,2.75,3,2.8,2.7,3,2.7,2.65,3.2,2.7,,,,,,,,,,2.8,3.2,2.82,2.72,2.99,2.75,2.98,3,2.88,2.63,1.5,,,2.63,1.53,2.49,1.51,2.6,1.58,0,1.93,1.93,,,1.95,1.95,1.88,1.88,2,1.94,2.9,2.9,2.7,2.88,2.88,2.75,2.95,2.9,2.7,2.9,2.88,2.7,2.9,2.9,2.7,,,,,,,,,,3,2.9,2.75,2.92,2.86,2.69,3.1,2.96,2.9,2.63,1.5,,,2.63,1.52,2.57,1.48,2.82,1.54,0,2.03,1.83,,,2.03,1.83,1.97,1.8,2.06,1.92
