Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
SP1,23/01/2026,20:00,Levante,Elche,3,2,H,0,1,A,26,6,6,3,13,13,9,1,2,3,0,0,2.2,3.3,3.2,2.25,3.25,3.2,2.28,3.2,3.3,2.25,3.2,3.4,2.25,3.3,3.1,2.15,3.2,3,2.15,3.2,3,,,,2.3,3.33,3.4,2.23,3.24,3.21,2.38,3.4,3.45,2.05,1.8,,,2.05,1.8,1.98,1.78,2.12,1.86,-0.25,1.95,1.9,,,1.95,1.9,1.91,1.86,2.03,1.96,2.2,3.3,3.25,2.25,3.3,3.2,2.23,3.3,3.3,2.2,3.4,3.13,2.25,3.4,3.1,2.25,3.4,3.1,2.25,3.4,3.1,,,,2.3,3.4,3.33,2.23,3.33,3.18,2.32,3.55,3.4,1.91,1.91,,,1.95,1.91,1.91,1.84,1.97,2,-0.25,1.93,1.93,,,1.95,1.93,1.9,1.88,2.01,1.97
SP1,24/01/2026,13:00,Vallecano,Osasuna,1,3,A,0,1,A,11,14,4,5,12,15,4,3,2,2,0,0,2.15,3.25,3.6,2.05,3.1,4,2.1,3.2,3.8,2.15,3.2,3.6,2.15,3.2,3.6,2.15,3.2,3.6,2.15,3.2,3.5,,,,2.2,3.25,4,2.13,3.15,3.68,2.22,3.25,3.95,2.3,1.62,,,2.38,1.62,2.32,1.56,2.48,1.65,-0.25,1.83,2.03,,,1.83,2.04,1.79,2,1.88,2.1,2.2,3.1,3.5,2.25,3.1,3.4,2.25,3.1,3.5,2.2,3.2,3.5,2.2,3.1,3.5,,,,,,,,,,2.25,3.2,3.6,2.22,3.09,3.49,2.32,3.2,3.75,2.3,1.62,,,2.42,1.62,2.34,1.57,2.5,1.66,-0.25,1.88,1.98,,,1.91,1.98,1.87,1.91,1.94,2.05
SP1,24/01/2026,15:15,Valencia,Espanol,3,2,H,1,0,H,10,16,5,6,13,10,2,7,1,5,0,0,2.45,3.1,3.1,2.4,3.1,3.1,2.33,3.25,3.15,2.4,3.2,3.1,2.4,3.2,3,,,,,,,,,,2.45,3.25,3.15,2.39,3.17,3.07,2.52,3.25,3.25,2.3,1.62,,,2.3,1.65,2.23,1.61,2.4,1.68,-0.25,2.1,1.78,,,2.1,1.83,2,1.77,2.13,1.85,2.4,3.2,3.1,2.4,3.1,3.1,2.43,3.1,3.15,2.38,3.2,3.1,2.45,3.1,3.1,,,,,,,,,,2.45,3.2,3.25,2.39,3.11,3.13,2.52,3.25,3.3,2.3,1.62,,,2.33,1.62,2.27,1.6,2.44,1.67,-0.25,2.05,1.8,,,2.05,1.83,2.01,1.78,2.13,1.86
SP1,24/01/2026,17:30,Sevilla,Ath Bilbao,2,1,H,1,1,D,10,15,7,3,16,12,5,5,2,1,0,0,2.88,3,2.63,2.88,3.1,2.6,3,3.05,2.55,2.8,3.2,2.6,2.8,3.2,2.55,,,,,,,,,,3,3.2,2.63,2.88,3.07,2.58,3.05,3.15,2.76,2.3,1.62,,,2.3,1.62,2.25,1.6,2.42,1.67,0,2,1.85,,,2,1.85,1.96,1.79,2.1,1.88,2.6,2.9,3,2.6,3,2.88,2.63,2.95,2.95,2.6,3.1,2.88,2.65,2.95,2.9,,,,,,,,,,2.65,3.1,3,2.61,2.97,2.93,2.74,3.05,3.2,2.5,1.53,,,2.5,1.55,2.44,1.53,2.6,1.62,0,1.83,2.03,,,1.83,2.03,1.8,1.97,1.84,2.16
SP1,24/01/2026,20:00,Villarreal,Real Madrid,0,2,A,0,0,D,8,14,1,4,19,10,6,6,3,1,0,0,3.4,3.9,2,3.4,3.75,2,3.35,4,1.98,3.25,4,2,3.3,3.8,2,,,,,,,,,,3.4,4,2.05,3.32,3.84,2,3.55,4,2.08,1.5,2.63,,,1.5,2.7,1.46,2.62,1.52,2.84,0.5,1.83,2.03,,,1.85,2.03,1.78,1.95,1.89,2.08,3.75,4,1.85,3.6,4,1.9,4.1,4.1,1.77,3.6,4.2,1.85,3.6,4,1.87,,,,,,,,,,4.1,4.2,1.9,3.74,4.05,1.84,4.1,4.2,1.91,1.44,2.75,,,1.44,3,1.4,2.81,1.46,3.15,0.5,1.98,1.88,,,2,1.88,1.93,1.81,2.08,1.91
SP1,25/01/2026,13:00,Ath Madrid,Mallorca,3,0,H,1,0,H,17,6,8,1,10,7,10,3,2,1,0,0,1.3,5.25,10,1.29,5,11,1.27,5.75,11,1.25,5,9.5,1.3,5.75,9.25,,,,,,,,,,1.3,5.75,11,1.28,5.36,10,1.31,6,12,1.67,2.2,,,1.7,2.2,1.66,2.15,1.74,2.3,-1.5,1.93,1.93,,,1.93,1.95,1.85,1.88,1.94,1.99,1.3,5.25,9.5,1.3,5,10,1.33,5.2,9.5,1.3,5.25,10.5,1.34,5.25,8.5,,,,,,,,,,1.34,5.25,10.5,1.32,5.06,9.62,1.35,5.5,12,1.73,2.1,,,1.8,2.1,1.73,2.05,1.83,2.18,-1.5,1.98,1.88,,,2,1.88,1.92,1.82,2.07,1.93
SP1,25/01/2026,15:15,Barcelona,Oviedo,3,0,H,0,0,D,15,12,7,3,8,21,10,1,1,2,0,0,1.11,10,19,1.1,9.5,21,1.09,10.5,23,1.06,9.5,20,1.13,9.75,17.5,,,,,,,,,,1.13,11,25,1.09,9.93,20.27,1.13,12,27,1.22,4.33,,,1.25,4.33,1.22,4.02,1.26,4.6,-2.75,2,1.85,,,2.02,1.86,1.97,1.81,2.05,1.9,1.11,10,19,1.13,8.5,17,1.11,10,20,1.11,10,19,1.17,8.5,13.5,,,,,,,,,,1.17,10,20,1.12,9.35,17.46,1.15,11.5,20,1.25,4,,,1.26,4.2,1.24,3.92,1.28,4.4,-2.5,1.98,1.88,,,2,2,1.9,1.84,2.06,1.92
SP1,25/01/2026,17:30,Sociedad,Celta,3,1,H,1,0,H,10,17,4,4,7,13,2,9,1,1,1,0,2,3.4,3.9,2.05,3.3,3.75,1.98,3.4,3.95,1.95,3.3,3.6,2,3.4,3.75,,,,,,,,,,2.05,3.5,3.95,1.99,3.37,3.77,2.06,3.55,4.1,2.05,1.8,,,2.1,1.8,2.01,1.75,2.1,1.87,-0.5,2,1.85,,,2,1.85,1.94,1.79,2.06,1.91,2.15,3.3,3.5,2.1,3.3,3.5,2.12,3.25,3.65,2.15,3.3,3.5,2.1,3.3,3.6,,,,,,,,,,2.2,3.3,3.66,2.12,3.26,3.54,2.24,3.4,3.8,2.1,1.73,,,2.12,1.73,2.07,1.72,2.2,1.81,-0.25,1.85,2,,,1.85,2,1.81,1.97,1.91,2.08
SP1,25/01/2026,20:00,Alaves,Betis,2,1,H,1,0,H,17,18,9,4,17,11,6,4,1,1,0,0,2.75,3,2.7,2.88,3.1,2.6,2.9,3.1,2.55,2.63,3.1,2.55,2.8,3.2,2.55,,,,,,,,,,2.9,3.2,2.75,2.8,3.05,2.61,2.94,3.15,2.82,2.3,1.62,,,2.3,1.62,2.24,1.6,2.32,1.72,0,1.98,1.88,,,2,1.88,1.93,1.82,2.01,1.95,2.63,3,2.9,2.75,3,2.8,2.65,3,2.9,2.63,2.9,3,2.65,3,2.9,,,,,,,,,,2.75,3,3,2.66,2.95,2.9,2.78,3.05,3.15,2.5,1.53,,,2.5,1.6,2.42,1.54,2.6,1.61,0,1.8,2.05,,,1.85,2.05,1.79,1.98,1.88,2.12
SP1,26/01/2026,20:00,Girona,Getafe,1,1,D,0,0,D,12,8,4,2,13,15,3,4,5,3,0,0,2.1,3,4.1,2.1,3,4,2.08,3,4.1,2.05,2.9,3.8,2.1,3.1,3.8,,,,,,,,,,2.1,3.2,4.2,2.08,3.01,3.93,2.14,3.15,4.3,3,1.4,,,3,1.44,2.76,1.41,3,1.48,-0.5,2.08,1.73,,,2.08,1.77,2.02,1.71,2.15,1.84,2.15,3,3.8,2.15,3,3.75,2.23,2.85,4,2.15,3,3.8,2.2,2.95,3.8,,,,,,,,,,2.23,3,4,2.16,2.95,3.87,2.26,3.05,4.3,2.75,1.44,,,3,1.44,2.77,1.42,3,1.49,-0.25,1.85,2,,,1.85,2,1.81,1.97,1.9,2.08
